root,draft_short_gloss,flag,source_snippet
قثأ,"The land, or the place, abounded with the [ species of cucumber called ] .",,"4 اقثأت الأَرْضُ ذ , (AZ, S, O,) or اقثأ المَكَانُ , (K,) The land, or the place, abounded with the [ species of cucumber called ] قِثّآء . (AZ, S, O, K.) And اقثأ القَوْمُ The people had abundance o"
قدو,"and and A pattern; an exemplar; an example; an object of imitation; one who is, or is to be, imitated. See ....",LOW_CONFIDENCE,"قُدْوَةٌ ذ and قِدْوَةٌ (S, Msb, K,) and قَدْوَةٌ (K,) A pattern; an exemplar; an example; an object of imitation; one who is, or is to be, imitated. (S, Msb, K, TA.) See إِسْوَةٌ ."
قرع,"Mgh, art. .) -b2- .",,"1 قَرَعَ ذ in the sense of ضَرَبَ has مَقْرَعٌ for an inf. n. (Mgh, art. غمز .) -b2- قَرَعَ فِى مِقْرَعِهِ i. q. ضَرَبَ فِى مِضْربِهِ . (TA in art. ضرب .) -b3- قَرَعَ صَفَاتَهُ (tropical:) He impugned"
قري,1 is doubly .: see a verse cited voce ....,LOW_CONFIDENCE,1 قَرَى الضَّيْفَ ذ is doubly trans.: see a verse cited voce قُوهٌ .
قسطس,"Msb, K; and Bd in xvii.",,"قُسْطَاسٌ ذ and قِسْطَاسٌ A balance, or instrument for weighing: (S, Msb, K; and Bd in xvii. 37:) or the most even and most just kind thereof: or such as is just, of whatever kind it be: (K:) or i. q."
قسو,"He sought after, or pursued, it: and he did so repeatedly, or by degrees, and leisurely, or repeatedly and by degrees and leisurely: (S, M, A, K:) as also .",,"1   قَسَّهُ   ذ   , aor.   قَسُسَ   , (M,) inf. n. قَسٌّ (S, M, A, K) and قُسٌّ and قِسٌّ (A, K) and قَسَسٌ , (M, [in which this and the first only are mentioned, accord. to a copy of a portion in my "
قصم,"Artemisia abrotanum, or southern-wood; also called : and is applied to santolina.",,"قَيْصُومٌ ذ Artemisia abrotanum, or southern-wood; also called قَيْصُومٌ ذَكَرٌ : and قَيْصُومٌ أُنْثَى is applied to santolina."
قصو,"He cut it; or he clipped it, or shore it, or cut off from it; namely, hair, and wool, and plumage, and a nail of a finger or toe; with the , .: (A, K:) as also , and, by permutation, : (M:) or these two forms have an intensive signification: or you say, , meaning, I pared the nail and the like.",,"1   قَصَّهُ   ذ   , (S, M, A, Msb, K,) aor.   قَصُصَ   , inf. n. قَصٌّ , (M, Msb,) He cut it; (S, Msb;) or he clipped it, or shore it, or cut off from it; (A, K;) namely, hair, (S, M, A, K,) and wool,"
قطف,"A bunch of grapes, c.: . : see an ex. voce . -b2- . . (TA in art. .) See ....",LOW_CONFIDENCE,"قِطْفٌ ذ A bunch of grapes, &amp;c.: pl. قُطُوفٌ : see an ex. voce ذَلَّلَ . -b2- قِطْفٌ i. q. مَقْطُوفٌ . (TA in art. بسط .) See بَسِيطٌ ."
قطمر,"The cleft ( ) of a date-stone: (M, K:) or the integument ( ) that is upon it ( ): (K:) the thin skin called , which is upon a date-stone, between the stone and the date itself: (K:) or the white point [ .",,"قِطْمِيرٌ ذ (S, K) and قِطْمَارٌ (K) The cleft ( شَقّ ) of a date-stone: (M, K:) or the integument ( قِشْرَة ) that is upon it ( فِيهَا ): (K:) the thin skin (S, K) called فُوفَة , which is upon a dat"
قعد,He sat; . [when the latter is used in its largest sense]; so accord.,,"1 قَعَدَ ذ , (S, K, &amp;c.,) aor. قَعُدَ , (A, L,) inf. n. قُعُودٌ and مَقْعَدٌ (S, L, K) and قَعْدٌ , (L,) He sat; i. q. جَلَسَ [when the latter is used in its largest sense]; (S, A, L, K;) so accor"
قعر,The well was deep; had a deep bottom.,,"1 قَعُرَتِ البِئْرُ ذ , aor. قَعُرَ , inf. n. قَعَارَةٌ , The well was deep; had a deep bottom. (S, K. *) -A2- قَعَرَ البِئْرَ , (S, K,) aor. قَعَرَ , inf. n. قَعْرٌ , (TA,) He reached the bottom of t"
قلم,and and : see . -b2- A writing-reed prepared for writing; a reed-pen....,LOW_CONFIDENCE,قَلَمٌ ذ and and : see جَلَمٌ . -b2- A writing-reed prepared for writing; a reed-pen.
قلي,"It was, or became, few; small, or little, in number, quantity, or amount; scanty.",,"1   قَلَّ   ذ   , It was, or became, few; small, or little, in number, quantity, or amount; scanty. -b2- هُوَ يَقِلُّ عَنْ كَذَا   He, or it, is smaller than, or too small for, such a thing; syn. يَصْ"
قمع,,CROSS_REF,1 قَمَعَهُ ذ : see قَمَأَهُ .
قمل,,CROSS_REF,1 قَمِلَ ذ : see تِينٌ .
قني,An isolated mountain.,,"قُنَّةٌ   ذ   An isolated mountain. (K, voce جَبَلٌ .) See a verse cited in art. عز .  قِنَّةٌ   ذ   Galbanum: so in the present day: see سَكْبِينَجٌ .  رَجُلٌ أُنَنَةٌ قُنَنَةٌ   ذ   : see art. ان . "
قوع,"An even place; (S, voce ;) plain, or level, land, that produces nothing; plain, or soft, land, ( ,) low, and free from mountains.",,"قَاعٌ ذ An even place; (S, voce مَقَدٌّ ;) plain, or level, land, (S, Msb,) that produces nothing; (IF, Msb;) plain, or soft, land, ( أَرْضٌ سَهْلَةٌ ,) low, and free from mountains. (K.) See also رَو"
كدي,"He toiled; or was, or became, vehement, or severe, in work; he worked laboriously; he fatigued himself, and hastened, in his work.",,"1   كُدَّ   ذ   , aor.   كَدُدَ   , (L,) inf. n. كَدٌّ , (S, L, K,) He toiled; or was, or became, vehement, or severe, (S, A, L, K,) in work; (S, A, L;) he worked laboriously; (TA;) he fatigued himsel"
كسف,,CROSS_REF,كَاسِفُ البَالِ ذ : see بَالٌ .
كسو,1 [ I invested him with a sword ]. (TA in art. .)...,LOW_CONFIDENCE,1 كَسَوْتُهُ سَيْفًا ذ [ I invested him with a sword ]. (TA in art. غشو .)
كعب,"The girl's breast swelled, or became prominent or protuberant, and round: (TA:) [or began to swell, c.: see ]: or they use the term ; then ; and then ; [as applied to the successive stages of growth of the breast].",,"كَعَبَ الثَّدْىُ ذ , aor. كَعِبَ and كَعُبَ , (it seems to be implied in one place in the K, that the aor. is كَعَبَ ; but this is not the case; TA,) inf. n. كُعُوبٌ and كِعَابَةٌ (by MF written كَعَا"
كلم,,LOW_CONFIDENCE,3 كَالَمَهُ ذ i. q. نَاطَقَهُ . (TA in art. نطق .)
كلو,"1 , first pers. , . ; and , first pers. , . ; ., ; see ....",LOW_CONFIDENCE,"1 كَلَا ذ , first pers. كَلَاتُ , aor. يَكْلُو ; and كَلَا , first pers. كَلَيْتُ , aor. يَكْلَا ; inf. n., كِلَايَةٌ ; see كَلَأَ ."
كمم,,CROSS_REF,"كَمْ   ذ   : see its syn. كَأَىٍّ or كَأَيِّنْ voce أَىٌّ . -b2- As an interrogative with the specification suppressed, What number? How many? and, as in an ex. voce سِقْىٌ , virtually meaning How muc"
كمه,,LOW_CONFIDENCE,أَرْضٌ كَمْهَآءٌ ذ i. q. مُغِمَّةٌ and مِغَمَّةٌ . (TA in art. غم .)
كنن,"Beyd, xvi. 83:) see .",,"كِنٌّ   ذ   A place of retreat or concealment; such as a cave, and an excavated house or chamber: (Beyd, xvi. 83:) see بَرٌّ . -b2- كِنٌّ The shelter of a wall: see دِفْءٌ . -b3- A thing that serves f"
كهف,,EMPTY,
كهن,,EMPTY,
كوكب,,CROSS_REF,كَوْكَبٌ ذ &amp;c.: see art. ككب .
كيف,"Muslim theologians, verbs derived from , [signifying I specified by the ascription of its quality and it became so specified, ] are formed in accordance with analogy, not heard from the Arabs.",,"2 كَيَّفْتُهُ فَتَكَيَّفَ ذ , used by the Muslim theologians, (K, TA,) verbs derived from كَيْفَ , (TA,) [signifying I specified by the ascription of its quality and it became so specified, ] are form"
كيل,,LOW_CONFIDENCE,8 اِكْتَالَ عَلَيْهِ ذ and مِنْهُ : see عَلَى in the sense of مِنْ .
كين,10 : see in art. : and see art. ....,LOW_CONFIDENCE,10 اِسْتَكَانَ ذ : see اِسْتَكَنَ in art. سكن : and see art. كون .
لؤلؤ,,EMPTY,
لبن,"The small guts or intestines, in which originate the lacteals; ] the intestines in which is the milk.",,"بَنَاتُ لَبَنٍ ذ [app. The small guts or intestines, in which originate the lacteals; ] the intestines in which is the milk. (M, K.) See حَويَّةٌ , termed بَنَاتُ اللَّبَنِ . -b2- لَبَنَةٌ [n. un. of "
لحف,,CROSS_REF,لِحَافٌ ذ : see what follows.
لحي,1 : see a verse cited voce . -b2- : see ....,LOW_CONFIDENCE,1 لُحِىَ ذ : see a verse cited voce خَطَبَ . -b2- لَحَاهُ ٱللّٰهُ : see شَرَاهُ .
لدن,Supple; lithe; limber; limp; pliant; pliable; flexible.,,لَدْنٌ ذ Supple; lithe; limber; limp; pliant; pliable; flexible.
لسن,"Chasteness, or perspicuity, or clearness, of speech, and eloquence; .",,"لَسَنٌ ذ Chasteness, or perspicuity, or clearness, of speech, (S, Msb, K,) and eloquence; (Msb;) i. q. بَيَانٌ : or, as some say, the quality of speaking well: and chasteness, or perspicuity, or eloqu"
لظي,The .] is also syn.,,"1   لَظَّ   ذ   : see 4. -b2- [The inf. n.] لَظٌّ is also syn. with   طَرْدٌ [The act of driving away; &amp;c.]. (Ibn- 'Abbád, K.)  3   مُلَاظَّةٌ   ذ   , inf. n. of لَاظَّ : and, as also لِظَاظٌ , ir"
لعن,A man who is much cursed. (TA in art. .)...,LOW_CONFIDENCE,لُعْنَةٌ ذ A man who is much cursed. (TA in art. خدع .)
لفح,"Zj:) or relates to a hot wind; and , to a cold, or cool, wind: (As, S:) you also say meaning the blew in his face.",,"1 لَفَحَتْهُ النَّارُ ذ , (S, M, K,) aor. لَفَحَ , (M,) inf. n. لَفْحٌ and لَفَحَانٌ , (M, K,) The fire smote, or hurt, his face; as also لفحت وَجْهَهُ : (M, O:) the fire burned him; (TA;) as also نفح"
لمم,"God rectified, or repaired, and consolidated, what was disorganized, disordered, or unsettled, of his affairs.",,"1 لَمَّ ٱللّٰهُ شَعَثَهُ ذ God rectified, or repaired, and consolidated, what was disorganized, disordered, or unsettled, of his affairs. (S.)"
لهم,"God directed him by inspiration to that which was good, or to prosperity ] (TA, art.",,"4 أَلْهَمَهُ ٱللّٰهُ لِلْخَيْرِ ذ [ God directed him by inspiration to that which was good, or to prosperity ] (TA, art. وفق ) -b2- أَلْهَمَهُ إِيَّاهُ He suggested it to him; (in the order of the wor"
ليل,,CROSS_REF,"لَيْلٌ ذ : see نَهَارٌ . -b2- بَنَاتُ اللَّيْلِ Wishes: (T, TA in art. بنى :) and anxieties. (TA ibid.) -b3- اِبْنُ اللَّيْلِ The thief, or robber: (T in art. بنى :) and the wayfarer, or traveller. (E"
محص,"See also 5, throughout.",,"1 مَحْصٌ ذ [an inf. n. of which the verb is app. مَحَصَ , aor. مَحَصَ ,) A thing's becoming, or being, clear, pure, or free from admixture. (TA.) See also 5, throughout. -A2- مَحَصَهُ : see 2, in thre"
محل,The stars set aurorally and brought no rain.,,"4 أَمْحَلَتِ النُّجُومُ ذ The stars set aurorally and brought no rain. (S, K * in art. خوى .)"
محن,"A trial, or trying affliction: (S:) . ....",LOW_CONFIDENCE,"مِحْنَةٌ ذ A trial, (S, Msb, K,) or trying affliction: (S:) pl. مِحَنٌ . (Msb.)"
مخر,"The ship clave the water with its stem, and ran: (AHeyth:) or clave the water with a noise: (A:) or ran, cleaving the water with a noise: (S:) or ran: or faced the wind in her course: (K:) or advanced and retired.",,"1 مَخَرَتِ السَّفِينَةُ ذ , (S, A, K,) or مخرت السفينة المَآءَ , (TA,) aor. مَخَرَ (S, K) and مَخُرَ , (S, TA,) inf. n. مَخْرٌ and مُخُورٌ , (S, K,) The ship clave the water with its stem, and ran: ("
مدن,,CROSS_REF,مَيْدَانٌ ذ : see art. ميد .
مرأ,,EMPTY,
مرح,"The water-skin leaked, or let out its water through the punctures made in sewing it.",,"1 مَرِحَتِ القِرْبَةُ ذ , aor. مَرَحَ , inf. n. مَرَحَانٌ , The water-skin leaked, or let out its water through the punctures made in sewing it. (L.) -b2- مَرِحَ السَّحَابُ The clouds poured forth rai"
مرو,"A spade; [so in the present day;] syn. ; with which one works in land of seed-produce: (M and K, voce :) or the handle thereof: and in like manner, of the [app. here meaning fire-shovel ]: (M:) [see ]...",LOW_CONFIDENCE,"مَرٌّ   ذ   A spade; [so in the present day;] syn. مِسْحَاةٌ ; (M, K;) with which one works in land of seed-produce: (M and K, voce بَالٌ :) or the handle thereof: (M, K;) and in like manner, of the  "
مري,The wind draws forth the clouds.,,"1 الرِّيحُ تَمْرِى السَّحَابَ ذ and The wind draws forth the clouds. (M, TA.) See an ex. in a verse cited voce عَزْلَآءُ ."
مزن,"Clouds (K, and Ham, p.",,"مُزْنٌ ذ Clouds (K, and Ham, p. 564) of any kind: (Ham, ibid:) or white clouds: (S, K, and Ham, p. 53:) or clouds containing water. (K.)"
مسك,,CROSS_REF,1 يُمْسِكُ الرَّمَقَ ذ : see art. رمق .
مسو,"Sb, * S, M, * K,) and transferring the kesreh thereof to the (Sb, * S, M, *) contr.",,"1   مَسَّهُ   ذ   , (A, Mgh,) first pers. مَسِسْتُهُ , (S, M, Msb, K,) for which they sometimes say مِسْتُهُ , rejecting the first س , (Sb, * S, M, * K,) and transferring the kesreh thereof to the م ("
مضغ,"Khálid Ibn-Jembeh, TA:) or as much as is chewed [ at once ]: (Msb:) and such as the heart, and the tongue, of a man: (TA:) and a fœtus when it has become like a lump of flesh: see Kur.",,"مُضْغَةٌ ذ A piece, or bit, of flesh (T, S, K), &amp;c.: (T, K:) or a morsel, or gobbet, of flesh, i. e. a piece of flesh such as a man puts into his mouth: (Khálid Ibn-Jembeh, TA:) or as much as is c"
مطر,"The sky, or, as it sometimes means, the rain, ] rained; as also : (T, S, Msb:) but the former is said to relate to that which is sent in mercy, and the latter to that which is sent in punishment.",,"1 مَطَرَتِ السَّمَآءُ ذ , aor. مَطُرَ , inf. n. مَطَرٌ , [ The sky, or, as it sometimes means, the rain, ] rained; as also : (T, S, Msb:) but the former is said to relate to that which is sent in mer"
مطو,He drew it; pulled it; strained it; extended it by drawing or pulling; stretched it; stretched it out; extended it; lengthened it; .,,"1   مَطَّهُ   ذ   , (S, K,) aor.  مَطُطَ   , (S, TA,) inf. n. مَطٌّ , (TA,) He drew it; pulled it; strained it; extended it by drawing or pulling; stretched it; stretched it out; extended it; lengthen"
معز,"The thing [and the ground ] was, or became, hard.",,"1 مَعِزَ الشَّىْءُ ذ , [and مَعِزَتِ الأَرْضُ , accord. to the explanation of the inf. n. in the S,] aor. مَعَزَ , (TK,) inf. n. مَعَزٌ , (S, K, TK,) The thing [and the ground ] was, or became, hard. "
معي,"It is said to denote the commencement of concomitance, though this is not invariably the case.",,"مَعَ   ذ   [generally thus in all cases] is a word, or noun, (S, K,) or particle, (K,) denoting concomitance, (S, K,) &amp;c. (K.) It is said to denote the commencement of concomitance, though this is"
مكر,"Msb, c.,) see .",,"1 مَكَرَ بِهِ ذ i. q. خَدَعَهُ , (Msb, &amp;c.,) see كَادَهُ ."
مكو,"The bird so called, because of its colour: see .",,"مُكَّآءٌ ذ The bird so called, because of its colour: see أَخْرَجُ ."
ملأ,He filled a vessel c.,,"1   مَلَأَ   ذ   , aor.  مَلَاَ   , inf. n. مَلْءٌ (S, K) and مَلْأَةٌ and مِلْأَةٌ ; (K;) and مَلِئَ ; (TA;) and   , inf. n. تَمْلِئَةٌ ; (K;) He filled (K;) a vessel &amp;c. (S, TA.) You may also sa"
ملح,"Such a woman suckled, or gave suck, for such a one.",,"1 مَلَحَتْ فُلَانَةٌ لِفُلَانٍ ذ , (aor. مَلَحَ and مَلُحَ , L,) (tropical:) Such a woman suckled, or gave suck, for such a one. (A, L.) -b2- مَلَحْنَا لِفُلَانٍ , inf. n. مَلْحٌ , (S,) We [meaning th"
ملو,"He put it (namely bread, or flesh-meat,) into hot ashes, [ to bake, or roast ].",,"1   مَلَّهُ   ذ   He put it (namely bread, or flesh-meat,) into hot ashes, [ to bake, or roast ]. (K, &amp;c.) -b2- مَلَّ الثَّوْبَ   He sewed, or tacked, the garment, or piece of cloth, [ slightly, ]"
نتق,,EMPTY,
نجو,Alvum dejecit; ventumve per anum emisit: (TA:) he voided his ordure; or broke wind.,,"1 نَجَا ذ Alvum dejecit; (Msb, TA;) ventumve per anum emisit: (TA:) he voided his ordure; or broke wind. -b2- نَجَا , inf. n. نَجَآءٌ , He was quick, or swift, and outstripped. (S.) See an ex. of the"
نحس,,CROSS_REF,5 تَنَحَّسَ see 10.
نحل,"His body became lean, or emaciated.",,"1 نَحَِلَ جِسْمُهُ ذ His body became lean, or emaciated. (S.)"
نخل,,CROSS_REF,1 نَخڤلَ see 8.
نزغ,,EMPTY,
نسف,The wind carried it away; .,,"1 نَسَفَتْهُ الرِّيحُ ذ , (Mgh, Msb, TA,) aor. نَسِفَ , (TA,) inf. n. نَسْفٌ ; (Msb, TA;) and , (TA,) The wind carried it away; (TA;) i. q. ذَرَتْهُ [q. v.]; (Mgh;) namely, dust. (Mgh, Msb.)"
نسل,,LOW_CONFIDENCE,8 اِنْتَسَلَ ذ said of camels' fur: see عَصِيمٌ .
نسو,,CROSS_REF,1 نَسڤوَ see 6.
نسي,He went at a gentle pace.,,"1   نَسَّ   ذ   , aor. يُنُسُّ , He went at a gentle pace. (TA, art. خبز .)  R. Q. 1   نَسْنَسَتِ الرِّيحُ   ذ   The wind blew coldly: see R. Q. 1 in art. سن .  رِيحٌ نَسْنَاسَةٌ   ذ   A cold wind: se"
نصي,,CROSS_REF,"5   تَنَصَّى بَنِى فُلاَنٍ   ذ   : see تَذَرَّى .  نَصِىٌّ   ذ   A certain plant: (S, TA:) Golius says, a species of thistle; but this seems to be inconsistent with the description of it: see رَيِّجَة"
نضر,"A tree of which yellow cups ( ) are made. (T, in TA, voce .) See ....",LOW_CONFIDENCE,"نُضَارٌ ذ A tree of which yellow cups ( أَقْدَاح ) are made. (T, in TA, voce غَرَبٌ .) See وَرْسِىٌّ ."
نطف,Earrings: see a verse cited in art.,,نَطَفٌ ذ Earrings: see a verse cited in art. سجد .
نطق,"Ham, p. 75. -b2- means he pronounced it, or articulated it.",,"1 نَطَقَ ذ trans. by means of ب : see Ham, p. 75. -b2- نَطَقَ بِهِ means he pronounced it, or articulated it. -b3- نَطَقَ , said of a bird or any animal: see Bd, xxvii. 16."
نعل,,CROSS_REF,1 نَعڤلَ see 4.
نعم,"His life was, or became, plentiful and easy: (Msb:) was, or became, good, or pleasant.",,"1 نَعِمَ عَيْشُهَُ ذ His life was, or became, plentiful and easy: (Msb:) was, or became, good, or pleasant. (Mgh.) See عَوْفٌ . -b2- نَعِمَ , aor. نَعُمَ , is like فَضِلَ , aor. نَعُمَ , and حَضِرَ , "
نفق,"The marked became brisk, its goods selling much; syn.",,"1 نَفَقَتِ السُّوقُ ذ The marked became brisk, its goods selling much; syn. قَامَت . (K.) -b2- نَفَقَ It was, or became, saleable; easy, or ready, of sale; or in much demand: see its syn. رَاجَ . -b3-"
نكر,"He was, or became, ignorant: or perhaps only the .",,"1 نَكِرَهُ ذ : see 4, in several places. -A2- نَكُرَ , inf. n. نَكَارَةٌ , [ He was, or became, ignorant: or perhaps only the inf. n. of the verb in this sense is used: see نَكَارَةٌ , below. -b2- And"
نكل,,LOW_CONFIDENCE,"1 نَكِلَ ذ , aor. يَنْكُلُ , see 1 in art. فضل ."
نمرق,,EMPTY,
نوب,"He came to them time after time, The Hudhalee (Aboo-Sahm Usámeh, TA,) says, Slender in the belly, an object of the chase, in a part of the desert far from roster and pasture; he will not come to the water otherwise than time after time.",,"1 نُبْتُهُ ذ , aor. يَنُوبُ inf. n. نَوْبٌ ; and ; I came to him by turns, (TA,) -b2- * اِنْنَابَهُمْ , inf. n. اِنْتِيَابٌ , He came to them time after time, (S, K.) The Hudhalee (Aboo-Sahm Usámeh, T"
نور,"1 ., in the sense of : see the latter, in two places. -A2- : . -A3- (tropical:) I made a mark upon the camel with a hot iron. See ....",LOW_CONFIDENCE,"1 نَارَ ذ intrans., in the sense of أَنَارَ : see the latter, in two places. -A2- نَارُوا النَّارَ : see 5. -A3- نُرْتُ البَعِيرَ (tropical:) I made a mark upon the camel with a hot iron. (M, K.) See "
نوم,,EMPTY,
نون,"The dimple in the chin of a young child: (M, K:) see , and , and , and 2 in art.",,"نَوْنَةٌ ذ The dimple in the chin of a young child: (M, K:) see خُنْعُبَةٌ , and قَلْتَةٌ , and دَائِرَةٌ , and 2 in art. دسم ."
هاء,,EMPTY,
هات,,EMPTY,
هبو,"The ashes became mixed with dust, and extinguished: (JK, TA:) and .",,"1 هَباَ الرَّمَادُ ذ , (JK, TA,) aor. يَهْبُو , (TA,) The ashes became mixed with dust, and extinguished: (JK, TA:) and هَباَ الجَمْرُ . (M, art. رمد .)"
هرع,,EMPTY,
هضم,,LOW_CONFIDENCE,1 هضَمَهُ ذ and اِهْتَضَمَهُ : see تَخَوَّفَهُ . -b2- هَضَمَ لَهُ مِنْ مَالِهِ : see خَضَمَ .
هطع,,EMPTY,
هلع,,EMPTY,
هلل,,CROSS_REF,4   أَهْلَلْنَا هِلَالَ شَهْرِ كَذَا   ذ   : see سَلَخَ .  10   اِسْتَهَلَّ   ذ   : see a verse cited at the close of the first paragraph of art. ضحك . -b2- See also a verse cited voce أَفْثَأَ . -b3-
هلم,"Come. (S, K, c.) -b2- It is .; as in Come to us.",,"هَلُمَّ ذ i. q. نَعَالَ Come. (S, K, &amp;c.) -b2- It is intrans.; as in هَلُمَّ إِلَيْنَا Come to us. And tran also; as in هَلُمَّ شُهَدَآءَ كُمْ Cause your witnesses to come; bring your witnesses. "
همد,"The fire became extinguished entirely; went out entirely, none of it remaining: (L:) or lost its heat: (L, K:) when [only] its flame has ceased, you say of it .",,"1 هَمَدَتِ النَّارُ ذ , aor. هَمُدَ , (S, A, L,) inf. n. هُمُودٌ , (S, A, L, K,) The fire became extinguished (As, S, A, L, K) entirely; went out entirely, (As, S, A, L,) none of it remaining: (L:) or"
همن,,EMPTY,
هيم,,CROSS_REF,2 هَيَّمَهُ ذ : see هُيُومٌ .
وأل,"1 : see , in art. , in two places....",LOW_CONFIDENCE,"1 وَأَلَ ذ : see آلَ , in art. اول , in two places."
وبر,The palm-tree was fecundated: ] .,,"1 وُبِرَتِ النَّخْلَةُ ذ [ The palm-tree was fecundated: ] i. q. أُبِرَتْ , i. e. أُلْقِحَتْ . (Aboo-'Amr Ibn-El-'Alà, in L, art. أبر .) See art. أبر ."
وبق,,EMPTY,
وتر,The vein ( [meaning the frenum ]) that is in the inner side ( ) of the glans of the penis.,,"وَتَرَةٌ ذ The vein ( عِرْق [meaning the frenum ]) that is in the inner side ( بَاطِن ) of the glans of the penis. (S, K, and Zj, in his “ Khalk el-Insán. ”)"
وتن,"Zj in his “ Khalk el-Insán: ”] or [ the aorta ascendens; ] the of the heart: or a certain white vein within the back of the neck: it is said to draw up [ its supply ] from the heart, and in it is the blood.",,"الوَتِينُ ذ [ The aorta: or the aorta descendens: ] a certain vein [ or artery ] adhering to the inner side of the backbone all along, which supplies all the [ other ] veins [ or arteries ] with blood"
وثن,An idol: see and and .,,وَثَنٌ ذ An idol: see صَنَمٌ and عَثَنٌ and عَنَنٌ .
وجف,,EMPTY,
وجل,,EMPTY,
وجه,"2 and ; . , . : see arts. and , and , conj. 2....",LOW_CONFIDENCE,"2 وَجَّهْتِ سِجَافَتَهُ ذ and سِدَافَتَهُ ; i. e. هَتَكْتِ سِتْرَهُ , i. e. أَخَذْتِ وَجْهَهَا : see arts. سجف and سدف , and جوه , conj. 2."
وحي,"He revealed to him; or spake, or made known, to him by revelation -b2- Also, He suggested to him; or put into his mind.",,"4   أَوْحَى إِلَيْهِ   ذ   He (God) revealed to him; or spake, or made known, to him by revelation -b2- Also, He suggested to him; or put into his mind. (Mughnee voce أَنْ .)  وَحِىٌّ   ذ   Hasty; (K;"
ودق,"Rain, whether violent or gentle: (TA:) or violent rain.",,"وَدْقٌ ذ Rain, (S, K, TA,) whether violent or gentle: (TA:) or violent rain. (MF in art. قهب .)"
ورق,"Silver, whether coined or not: (AO, TA:) or coined dirhems; coined silver.",,"وَرِقٌ ذ Silver, whether coined or not: (AO, TA:) or coined dirhems; (S, K;) coined silver. (Mgh.) See عَيْنٌ ."
وزع,,LOW_CONFIDENCE,الوَزَعَةُ ذ i. q. أَعْوَانُ الرَّجُلِ . (TA in art. امل .) وازِعٌ : see فَارِعٌ .
وسط,A middle-sized tent of goats hair: see ....,LOW_CONFIDENCE,وَسُوطٌ ذ A middle-sized tent of goats hair: see مِظَلَّةٌ .
وسق,,CROSS_REF,وَسْقٌ ذ A camel's load: see وِقْرٌ .
وسل,,CROSS_REF,1 وَسڤلَ see 5.
وسن,,EMPTY,
وصي,"He enjoined him; charged him; bade him; ordered him: (K, c.:) he commanded him, , to do such a thing.",,"2   وَصَّاهُ   ذ   and   He enjoined him; charged him; bade him; ordered him: (K, &amp;c.:) he commanded him,   بِكَذَا , to do such a thing. (Msb.)  4   أَوْصَى لَهُ بِالثُّلُثِ   ذ   He bequeathed t"
وضن,"A girth ( ) wide, woven of thongs or hair, or only of skin; said to be adapted for the and the ; the being peculiarly for the : (M:) or it is for the , like the for the and the for the and the for the...",LOW_CONFIDENCE,"وَضِينٌ ذ A girth ( بِطَان ) wide, woven of thongs or hair, or only of skin; (M, K;) said to be adapted for the رَحْل and the هَوْدَج ; the بِطَان being peculiarly for the قَتَب : (M:) or it is for th"
وفق,"His affair, or case, was right, agreeable with what was wished, or desired.",,"1 وَفِقَ أَمْرُهُ ذ His affair, or case, was right, agreeable with what was wished, or desired. (A, TA.)"
وقب,The darkness came in upon the people.,,"1 وَقَبَ الظَّلَامُ ذ The darkness came in upon the people. (S, K *.) -b2- So in the verse of the Kur. [cxiii. 3,] وَمِنْ شَرِّ غَاسِقٍ إِذَا وَقَبَ And from the mischief of night when it cometh in up"
وقد,"El-Basáïr, TA,) and and and and and ; and , and , and ; The fire burned; burned up; burned brightly or fiercely; blazed; or flamed; syn.",,"1 وَقَدَتِ النَّارُ ذ , aor. تَقِدُ , inf. n. وُقُودٌ (S, A, L, Msb, K) and وَقُودٌ , (Sb, Zj, L, K,) but this is a deviation [as to form] from the constant course of speech, and most hold that the fo"
وقر,"Hence,] , . , .",,"1 وَقَرَ ذ as syn. with أَوْقَرَ : and وُقِرَتِ النَّخْلَةُ as syn. with أَوْقَرَت : see 4. -A2- [Hence,] وَقَرَ ٱللّٰهُ أُذُنَهُ , aor. يَقِرُهَا , (S, Msb, K,) inf. n. وَقْرٌ , (S, Msb,) (tropical:)"
وقع,"The thing, or affair, [ fell, befell, ] happened; took place; came to ; became [ executed, performed, or] realized; syn.",,"1 وَقَعَ الأَمْرُ ذ The thing, or affair, [ fell, befell, ] happened; took place; came to pass; became [ executed, performed, or] realized; syn. حَصَلَ . (TA.) -b2- وَقَعَ فِى He lighted, or came, upo"
وقي,God preserved him from evil.,,"1 وَقَاهُ ٱللّٰهُ السُّوْءَ ذ God preserved him from evil. (Msb.) See a verse cited voce نَقَشَ . -b2- وَقَاكَ اللّٰهُ كُلَّ مَحْذُور God preserve thee from all fear: see مَحْذُورٌ . -b3- قِ , or قِهْ"
وكأ,,CROSS_REF,1 وَكڤاَ see 8.
وهج,The fire burned; syn.,,"1 وَهَجَتِ النَّارُ ذ , aor. تَهِجُ , inf. n. وَهْجٌ and وَهَجَانٌ ; (S, L, K;) and وَهَجَتَ , [app. a mistake for وَهِجَت ,] aor. تَوْهَجُ , [inf. n. وَهَجٌ ;] (L;) The fire burned; syn. اِتَّقَدَت ;"
